Polling Booth Number,Polling Booth Name,Winner- 2019,Margin %,Margin,Total Voters,BJP- Votes,BJP- % votes,INC- Votes,INC- % Votes,Adv. Chandrashekar Dongre,Topale Rupachand,Rahul Parasanji Tayde,Sanjay Ambadas Wankhede,Avinash Suresh Badhiye,Deepak M. Madavi,Dilip Shamraoji Potfode,Vilas Vinayakrao Kailuke,NOTA,No of Votes got by 3rd parties,BJP booth strength,INC booth strength
161,Nandapur Booth No2,INC,16.96969697,84,495,158,31.91919192,242,48.88888889,42,23,0,0,10,1,6,1,12,83,WEAK,WEAK
162,Matoda Booth No1,BJP,4.772234273,22,461,192,41.64859002,170,36.87635575,25,60,0,1,1,4,3,0,5,94,WEAK,WEAK
163,Matoda Booth No2,BJP,20.61657033,107,519,277,53.37186898,170,32.75529865,14,47,1,0,4,2,1,2,1,71,MODERATE,WEAK
164,Pipala (pu ),BJP,43.63636364,216,495,333,67.27272727,117,23.63636364,15,15,0,0,0,11,2,0,2,43,MODERATE,WEAK
165,Arvi Kala Vanijy V Vijnan Mahavidyalay Arvi (dakshin Ka,BJP,2.163461538,9,416,206,49.51923077,197,47.35576923,4,3,1,0,0,1,1,0,3,10,WEAK,WEAK
166,Arvi Kala Vanijy V Vijnan Mahavidyalay Arvi Kholi Kr.2,BJP,11.62483487,88,757,401,52.97225892,313,41.34742404,17,14,0,3,0,4,0,0,5,38,MODERATE,WEAK
167,Arvi J. P. Mulinchi Shala (kholi Kr. 4 ),BJP,18.03921569,46,255,141,55.29411765,95,37.25490196,0,0,0,0,0,0,0,0,0,0,MODERATE,WEAK
168,Arvi J. P. Mulinchi Shala (kholi Kr. 5 ),BJP,21.19047619,89,420,243,57.85714286,154,36.66666667,5,6,0,1,0,2,3,0,6,17,MODERATE,WEAK
169,Arvi J. P. Mulinchi Shala (kholi Kr. 2 ),BJP,36.24823695,257,709,459,64.73906911,202,28.49083216,4,27,2,0,1,4,7,0,3,45,MODERATE,WEAK
170,Arvi J. P. Prath. (maji Shasakiy )uchch Madhy. (mulinch,BJP,15.53610503,71,457,242,52.95404814,171,37.41794311,19,15,0,0,0,1,2,1,6,38,MODERATE,WEAK
171,Arvi J. P. Prath. (maji Shasakiy )uchch Madhy. (mulinch,INC,5.348837209,23,430,190,44.18604651,213,49.53488372,2,6,0,3,1,5,5,1,4,23,WEAK,WEAK
172,Arvi Gandhi Vidayalaya arvi (rang Manch )purvekadil Bha,BJP,24.54361055,121,493,296,60.04056795,175,35.4969574,4,4,1,2,0,2,4,0,5,17,MODERATE,WEAK
173,Arvi Gandhi Vidayalaya arvi (rang Manch ) Pashchimkadil,BJP,20.85020243,103,494,289,58.50202429,186,37.65182186,1,1,0,0,1,1,8,1,6,13,MODERATE,WEAK
174,Arvi Gandhi Vidayalaya arvi pashchimekadil Bhag davikad,BJP,23.64217252,148,626,358,57.1884984,210,33.54632588,31,19,0,2,0,0,3,0,3,55,MODERATE,WEAK
175,Arvi Gandhi Vidayalaya arvi pashchimekadil Bhag ,BJP,15.60874089,150,961,525,54.63059313,375,39.02185224,10,21,2,0,1,7,13,0,7,54,MODERATE,WEAK
176,Arvi Shasakiy Tantr Madhyamik Shala Kendraarvi,BJP,10.30927835,60,582,288,49.48453608,228,39.17525773,7,26,1,2,0,9,16,0,5,61,WEAK,WEAK
177,Arvi Shasakiy Tantr Madhyamik Shala Aarvi Koli Kr. 2,BJP,1.302083333,5,384,176,45.83333333,171,44.53125,6,13,0,1,0,0,14,1,2,35,WEAK,WEAK
178,Arvi AMPS Convent School Near Ranilaxmibai Pra. School,BJP,2.090592334,18,861,419,48.66434379,401,46.57375145,6,6,0,0,0,4,17,1,7,34,WEAK,WEAK
179,Arvi AMPS Convent Janta Nagar,BJP,18.12796209,153,844,468,55.45023697,315,37.32227488,7,18,0,1,1,7,23,2,2,59,MODERATE,WEAK
180,Arvi Govt. S. T. Boys Hosta,BJP,3.436807095,31,902,422,46.78492239,391,43.3481153,17,12,2,2,0,4,43,1,8,81,WEAK,WEAK
181,Arvi J. P. Bandhakam Up. Vibhaag Karyalay Kho. Kr. 4 Ut,BJP,6.038647343,50,828,413,49.87922705,363,43.84057971,4,10,1,2,0,1,22,2,10,42,WEAK,WEAK
182,Arvi J. P. Bandhakam Up. Vibhaag Karyalay Kho. Kr. 8 Da,BJP,2.72572402,16,587,287,48.89267462,271,46.1669506,13,8,1,1,0,0,1,1,4,25,WEAK,WEAK
